Pixel Position,Calibrated Wavelength (nm)
204,398.55439073404284
205,398.92580591841994
206,399.2972066341787
207,399.66859288131917
208,400.03996465984125
209,400.4113219697451
210,400.78266481103054
211,401.15399318369765
212,401.5253070877465
213,401.89660652317696
214,402.26789148998915
215,402.639161988183
216,403.01041801775847
217,403.3816595787157
218,403.7528866710545
219,404.1240992947751
220,404.4952974498773
221,404.86648113636113
222,405.23765035422673
223,405.60880510347397
224,405.97994538410285
225,406.3510711961134
226,406.72218253950564
227,407.09327941427955
228,407.4643618204352
229,407.83542975797246
230,408.2064832268914
231,408.57752222719205
232,408.94854675887433
233,409.31955682193825
234,409.6905524163839
235,410.06153354221124
236,410.43250019942025
237,410.8034523880109
238,411.1743901079832
239,411.54531335933723
240,411.9162221420729
241,412.2871164561903
242,412.6579963016893
243,413.02886167857
244,413.3997125868324
245,413.77054902647643
246,414.1413709975022
247,414.51217849990957
248,414.88297153369865
249,415.2537500988694
250,415.62451419542185
251,415.9952638233559
252,416.36599898267167
253,416.7367196733691
254,417.1074258954483
255,417.478117648909
256,417.8487949337515
257,418.2194577499756
258,418.59010609758144
259,418.96073997656896
260,419.3313593869381
261,419.701964328689
262,420.07255480182147
263,420.4431308063356
264,420.8136923422315
265,421.184239409509
266,421.55477200816824
267,421.9252901382091
268,422.2957937996316
269,422.66628299243587
270,423.03675771662176
271,423.40721797218936
272,423.7776637591386
273,424.1480950774695
274,424.5185119271821
275,424.8889143082764
276,425.2593022207523
277,425.6296756646099
278,426.0000346398492
279,426.3703791464702
280,426.74070918447285
281,427.1110247538571
282,427.48132585462315
283,427.8516124867708
284,428.2218846503001
285,428.59214234521113
286,428.96238557150383
287,429.33261432917817
288,429.7028286182342
289,430.0730284386719
290,430.44321379049126
291,430.8133846736923
292,431.18354108827504
293,431.55368303423944
294,431.92381051158554
295,432.29392352031323
296,432.66402206042267
297,433.0341061319138
298,433.4041757347865
299,433.774230869041
300,434.1442715346771
301,434.5142977316949
302,434.88430946009436
303,435.2543067198755
304,435.6242895110383
305,435.99425783358276
306,436.36421168750894
307,436.73415107281676
308,437.10407598950627
309,437.4739864375774
310,437.84388241703033
311,438.2137639278648
312,438.58363097008106
313,438.95348354367894
314,439.32332164865846
315,439.6931452850197
316,440.0629544527626
317,440.43274915188715
318,440.8025293823934
319,441.17229514428135
320,441.5420464375509
321,441.91178326220216
322,442.2815056182351
323,442.6512135056497
324,443.020906924446
325,443.390585874624
326,443.76025035618363
327,444.1299003691249
328,444.4995359134479
329,444.86915698915254
330,445.23876359623887
331,445.6083557347069
332,445.9779334045566
333,446.3474966057879
334,446.71704533840096
335,447.08657960239566
336,447.45609939777205
337,447.8256047245301
338,448.1950955826698
339,448.5645719721912
340,448.9340338930943
341,449.303481345379
342,449.6729143290454
343,450.0423328440935
344,450.4117368905233
345,450.7811264683347
346,451.15050157752785
347,451.5198622181026
348,451.8892083900591
349,452.2585400933972
350,452.627857328117
351,452.99716009421854
352,453.3664483917016
