Pixel Position,Calibrated Wavelength (nm)
0,301.2753160789239
1,301.73114498425934
2,302.1868184805174
3,302.6423365676979
4,303.097699245801
5,303.55290651482653
6,304.00795837477466
7,304.46285482564525
8,304.9175958674384
9,305.3721815001541
10,305.82661172379227
11,306.280886538353
12,306.73500594383626
13,307.18896994024203
14,307.6427785275703
15,308.0964317058211
16,308.5499294749944
17,309.0032718350903
18,309.45645878610867
19,309.90949032804957
20,310.362366460913
21,310.81508718469894
22,311.26765249940746
23,311.72006240503845
24,312.17231690159196
25,312.624415989068
26,313.0763596674666
27,313.52814793678766
28,313.97978079703125
29,314.4312582481974
30,314.88258029028606
31,315.33374692329727
32,315.78475814723095
33,316.2356139620872
34,316.686314367866
35,317.1368593645672
36,317.58724895219103
37,318.03748313073737
38,318.4875619002062
39,318.93748526059755
40,319.38725321191146
41,319.8368657541479
42,320.2863228873068
43,320.7356246113883
44,321.1847709263923
45,321.6337618323188
46,322.0825973291678
47,322.53127741693936
48,322.97980209563343
49,323.4281713652501
50,323.8763852257892
51,324.3244436772508
52,324.77234671963504
53,325.2200943529417
54,325.6676865771709
55,326.1151233923227
56,326.5624047983969
57,327.00953079539374
58,327.456501383313
59,327.9033165621549
60,328.34997633191927
61,328.7964806926061
62,329.24282964421553
63,329.6890231867475
64,330.13506132020194
65,330.58094404457887
66,331.0266713598784
67,331.4722432661004
68,331.91765976324496
69,332.362920851312
70,332.8080265303016
71,333.25297680021373
72,333.69777166104836
73,334.1424111128056
74,334.58689515548525
75,335.03122378908745
76,335.47539701361217
77,335.9194148290594
78,336.3632772354292
79,336.8069842327215
80,337.2505358209363
81,337.6939320000737
82,338.13717277013353
83,338.58025813111595
84,339.02318808302084
85,339.4659626258483
86,339.9085817595983
87,340.3510454842708
88,340.79335379986577
89,341.2355067063833
90,341.6775042038234
91,342.119346292186
92,342.56103297147104
93,343.00256424167867
94,343.4439401028088
95,343.8851605548615
96,344.3262255978367
97,344.7671352317344
98,345.2078894565547
99,345.64848827229747
100,346.08893167896275
101,346.52921967655055
102,346.96935226506093
103,347.4093294444938
104,347.84915121484914
105,348.28881757612703
106,348.7283285283275
107,349.1676840714504
108,349.60688420549593
109,350.0459289304639
110,350.48481824635445
111,350.9235521531675
112,351.36213065090305
113,351.80055373956117
114,352.2388214191418
115,352.6769336896449
116,353.1148905510706
117,353.55269200341877
118,353.9903380466895
119,354.4278286808827
120,354.8651639059985
121,355.30234372203677
122,355.73936812899757
123,356.1762371268809
124,356.61295071568674
125,357.0495088954151
126,357.48591166606604
127,357.92215902763945
128,358.3582509801354
129,358.79418752355383
130,359.22996865789486
131,359.66559438315835
132,360.1010646993444
133,360.53637960645295
134,360.97153910448407
135,361.40654319343764
136,361.8413918733138
137,362.2760851441124
138,362.7106230058336
139,363.1450054584773
140,363.5792325020435
141,364.01330413653227
142,364.44722036194355
143,364.88098117827735
144,365.3145865855337
145,365.7480365837125
146,366.1813311728139
147,366.61447035283777
148,367.0474541237842
149,367.4802824856531
150,367.91295543844456
151,368.3454729821585
152,368.777835116795
153,369.21004184235403
154,369.6420931588356
155,370.0739890662397
156,370.5057295645663
157,370.9373146538154
158,371.368744333987
159,371.8000186050812
160,372.23113746709794
161,372.6621009200371
162,373.0929089638988
163,373.5235615986831
164,373.9540588243899
165,374.3844006410192
166,374.814587048571
167,375.2446180470454
168,375.67449363644226
169,376.10421381676167
170,376.5337785880036
171,376.96318795016805
172,377.392441903255
173,377.8215404472645
174,378.2504835821965
175,378.67927130805106
176,379.1079036248281
177,379.5363805325277
178,379.96470203114984
179,380.39286812069446
180,380.8208788011616
181,381.24873407255126
182,381.67643393486344
183,382.1039783880982
184,382.5313674322555
185,382.9586010673352
186,383.3856792933375
187,383.81260211026233
188,384.2393695181097
189,384.6659815168795
190,385.09243810657193
191,385.51873928718686
192,385.94488505872425
193,386.3708754211842
194,386.7967103745667
195,387.2223899188717
196,387.64791405409926
197,388.0732827802493
198,388.4984960973219
199,388.923554005317
200,389.3484565042346
201,389.77320359407474
202,390.1977952748374
203,390.6222315465226
204,391.0465124091303
205,391.47063786266057
206,391.8946079071133
207,392.31842254248863
208,392.7420817687864
209,393.1655855860067
210,393.5889339941496
211,394.012126993215
212,394.4351645832029
213,394.8580467641133
214,395.28077353594625
215,395.70334489870174
216,396.1257608523797
217,396.54802139698023
218,396.9701265325033
219,397.3920762589488
220,397.81387057631696
221,398.2355094846075
222,398.65699298382066
223,399.0783210739563
224,399.49949375501456
225,399.9205110269952
226,400.3413728898985
227,400.76207934372417
228,401.1826303884725
229,401.6030260241433
230,402.0232662507366
231,402.44335106825247
232,402.8632804766908
233,403.2830544760517
234,403.70267306633514
235,404.12213624754105
236,404.5414440196695
237,404.9605963827205
238,405.37959333669403
239,405.79843488159
240,406.2171210174086
241,406.63565174414964
242,407.05402706181326
243,407.4722469703994
244,407.89031146990806
245,408.3082205603392
246,408.7259742416929
247,409.1435725139691
248,409.56101537716785
249,409.9783028312891
250,410.3954348763329
251,410.8124115122992
252,411.22923273918803
253,411.6458985569994
254,412.0624089657333
255,412.4787639653897
256,412.8949635559686
257,413.31100773747005
258,413.726896509894
259,414.14262987324054
260,414.55820782750953
261,414.9736303727011
262,415.38889750881515
263,415.80400923585177
264,416.21896555381085
265,416.6337664626925
266,417.04841196249663
267,417.46290205322333
268,417.87723673487255
269,418.2914160074443
270,418.70543987093856
271,419.1193083253553
272,419.5330213706946
273,419.9465790069564
274,420.3599812341408
275,420.77322805224765
276,421.18631946127704
277,421.59925546122895
278,422.0120360521034
279,422.42466123390034
280,422.83713100661987
281,423.2494453702618
282,423.6616043248264
283,424.0736078703134
284,424.485456006723
285,424.8971487340551
286,425.3086860523097
287,425.7200679614869
288,426.13129446158655
289,426.54236555260877
290,426.95328123455346
291,427.3640415074207
292,427.77464637121045
293,428.18509582592276
294,428.5953898715576
295,429.00552850811493
296,429.4155117355948
297,429.8253395539972
298,430.23501196332205
299,430.6445289635695
300,431.05389055473944
301,431.4630967368319
302,431.8721475098469
303,432.2810428737845
304,432.68978282864447
305,433.0983673744271
306,433.50679651113217
307,433.91507023875977
308,434.3231885573099
309,434.73115146678253
310,435.13895896717776
311,435.54661105849544
312,435.9541077407357
313,436.36144901389844
314,436.7686348779837
315,437.1756653329915
316,437.58254037892186
317,437.9892600157747
318,438.39582424355007
319,438.802233062248
320,439.20848647186835
321,439.6145844724113
322,440.0205270638768
323,440.4263142462647
324,440.8319460195753
325,441.2374223838083
326,441.6427433389639
327,442.0479088850419
328,442.4529190220426
329,442.85777374996565
330,443.26247306881135
331,443.6670169785795
332,444.0714054792702
333,444.47563857088346
334,444.87971625341913
335,445.28363852687744
336,445.6874053912582
337,446.0910168465615
338,446.49447289278737
339,446.89777352993576
340,447.3009187580066
341,447.703908577
342,448.10674298691595
343,448.5094219877544
344,448.9119455795154
345,449.3143137621989
346,449.7165265358049
347,450.1185839003334
348,450.5204858557845
349,450.9222324021581
350,451.3238235394542
351,451.72525926767287
352,452.12653958681403
353,452.5276644968777
354,452.9286339978639
355,453.32944808977265
356,453.7301067726039
357,454.1306100463577
358,454.53095791103397
359,454.93115036663283
360,455.33118741315417
361,455.7310690505981
362,456.13079527896446
363,456.53036609825335
364,456.9297815084648
365,457.3290415095988
366,457.7281461016553
367,458.12709528463427
368,458.5258890585358
369,458.9245274233599
370,459.32301037910645
371,459.7213379257756
372,460.1195100633672
373,460.5175267918813
374,460.915388111318
375,461.3130940216772
376,461.71064452295894
377,462.1080396151632
378,462.50527929828996
379,462.90236357233925
380,463.29929243731107
381,463.6960658932054
382,464.09268394002225
383,464.48914657776163
384,464.8854538064236
385,465.281605626008
386,465.67760203651494
387,466.07344303794446
388,466.4691286302964
389,466.86465881357094
390,467.260033587768
391,467.65525295288757
392,468.05031690892963
393,468.4452254558943
394,468.83997859378144
395,469.2345763225911
396,469.62901864232333
397,470.023305552978
398,470.4174370545552
399,470.81141314705496
400,471.20523383047725
401,471.59889910482207
402,471.9924089700894
403,472.38576342627925
404,472.77896247339163
405,473.1720061114265
406,473.56489434038394
407,473.9576271602639
408,474.35020457106634
409,474.7426265727913
410,475.1348931654389
411,475.5270043490089
412,475.91896012350145
413,476.31076048891657
414,476.70240544525416
415,477.09389499251427
416,477.48522913069695
417,477.87640785980216
418,478.2674311798298
419,478.65829909078
420,479.0490115926528
421,479.4395686854481
422,479.82997036916584
423,480.22021664380617
424,480.610307509369
425,481.0002429658544
426,481.3900230132623
427,481.77964765159265
428,482.16911688084565
429,482.55843070102105
430,482.9475891121191
431,483.33659211413953
432,483.7254397070826
433,484.1141318909481
434,484.5026686657362
435,484.89105003144675
436,485.2792759880799
437,485.6673465356356
438,486.0552616741137
439,486.4430214035144
440,486.83062572383767
441,487.2180746350834
442,487.6053681372516
443,487.9925062303424
444,488.37948891435576
445,488.76631618929156
446,489.1529880551499
447,489.5395045119308
448,489.9258655596342
449,490.3120711982601
450,490.69812142780853
451,491.0840162482795
452,491.469755659673
453,491.85533966198903
454,492.2407682552276
455,492.62604143938864
456,493.01115921447223
457,493.39612158047834
458,493.78092853740696
459,494.1655800852581
460,494.5500762240318
461,494.93441695372803
462,495.31860227434674
463,495.702632185888
464,496.08650668835173
465,496.470225781738
466,496.85378946604686
467,497.23719774127824
468,497.6204506074321
469,498.00354806450844
470,498.3864901125074
471,498.76927675142883
472,499.15190798127276
473,499.53438380203926
474,499.9167042137283
475,500.29886921633977
476,500.68087880987383
477,501.0627329943304
478,501.4444317697095
479,501.82597513601115
480,502.20736309323524
481,502.58859564138197
482,502.9696727804511
483,503.3505945104429
484,503.7313608313571
485,504.11197174319386
486,504.49242724595314
487,504.87272733963493
488,505.2528720242393
489,505.6328612997661
490,506.0126951662155
491,506.39237362358745
492,506.77189667188185
493,507.15126431109877
494,507.5304765412383
495,507.9095333623003
496,508.2884347742848
497,508.6671807771918
498,509.0457713710214
499,509.4242065557735
500,509.8024863314481
501,510.18061069804526
502,510.5585796555649
503,510.93639320400706
504,511.3140513433717
505,511.69155407365895
506,512.0689013948687
507,512.446093307001
508,512.8231298100559
509,513.2000109040332
510,513.576736588933
511,513.9533068647554
512,514.3297217315003
513,514.7059811891677
514,515.0820852377576
515,515.45803387727
516,515.833827107705
517,516.2094649290625
518,516.5849473413426
519,516.9602743445452
520,517.3354459386702
521,517.7104621237178
522,518.085322899688
523,518.4600282665806
524,518.8345782243957
525,519.2089727731334
526,519.5832119127937
527,519.9572956433764
528,520.3312239648817
529,520.7049968773094
530,521.0786143806597
531,521.4520764749326
532,521.825383160128
533,522.1985344362458
534,522.5715303032862
535,522.9443707612492
536,523.3170558101347
537,523.6895854499426
538,524.0619596806731
539,524.4341785023262
540,524.8062419149016
541,525.1781499183998
542,525.5499025128203
543,525.9214996981634
544,526.2929414744291
545,526.6642278416173
546,527.0353587997279
547,527.4063343487611
548,527.7771544887169
549,528.1478192195951
550,528.5183285413958
551,528.8886824541191
552,529.258880957765
553,529.6289240523333
554,529.9988117378242
555,530.3685440142376
556,530.7381208815735
557,531.107542339832
558,531.4768083890128
559,531.8459190291164
560,532.2148742601424
561,532.583674082091
562,532.952318494962
563,533.3208074987556
564,533.6891410934717
565,534.0573192791103
566,534.4253420556714
567,534.7932094231551
568,535.1609213815614
569,535.5284779308901
570,535.8958790711413
571,536.263124802315
572,536.6302151244113
573,536.9971500374302
574,537.3639295413715
575,537.7305536362353
576,538.0970223220218
577,538.4633355987306
578,538.829493466362
579,539.195495924916
580,539.5613429743925
581,539.9270346147914
582,540.292570846113
583,540.6579516683571
584,541.0231770815236
585,541.3882470856126
586,541.7531616806243
587,542.1179208665585
588,542.4825246434151
589,542.8469730111943
590,543.211265969896
591,543.5754035195203
592,543.939385660067
593,544.3032123915362
594,544.6668837139281
595,545.0303996272424
596,545.3937601314792
597,545.7569652266386
598,546.1200149127205
599,546.482909189725
600,546.8456480576519
601,547.2082315165013
602,547.5706595662733
603,547.9329322069678
604,548.2950494385849
605,548.6570112611245
606,549.0188176745866
607,549.380468678971
608,549.7419642742782
609,550.1033044605078
610,550.4644892376601
611,550.8255186057348
612,551.1863925647319
613,551.5471111146517
614,551.907674255494
615,552.2680819872588
616,552.6283343099461
617,552.988431223556
618,553.3483727280883
619,553.7081588235432
620,554.0677895099207
621,554.4272647872206
622,554.786584655443
623,555.1457491145879
624,555.5047581646554
625,555.8636118056455
626,556.222310037558
627,556.5808528603931
628,556.9392402741507
629,557.2974722788308
630,557.6555488744334
631,558.0134700609586
632,558.3712358384064
633,558.7288462067766
634,559.0863011660692
635,559.4436007162844
636,559.8007448574223
637,560.1577335894826
638,560.5145669124654
639,560.8712448263708
640,561.2277673311987
641,561.584134426949
642,561.9403461136219
643,562.2964023912174
644,562.6523032597354
645,563.0080487191758
646,563.3636387695389
647,563.7190734108244
648,564.0743526430324
649,564.429476466163
650,564.7844448802161
651,565.1392578851918
652,565.49391548109
653,565.8484176679106
654,566.2027644456539
655,566.5569558143195
656,566.9109917739078
657,567.2648723244185
658,567.6185974658518
659,567.9721671982077
660,568.325581521486
661,568.6788404356869
662,569.0319439408103
663,569.3848920368562
664,569.7376847238246
665,570.0903220017155
666,570.442803870529
667,570.795130330265
668,571.1473013809235
669,571.4993170225046
670,571.8511772550082
671,572.2028820784343
672,572.5544314927829
673,572.905825498054
674,573.2570640942477
675,573.6081472813639
676,573.9590750594026
677,574.3098474283638
678,574.6604643882476
679,575.0109259390539
680,575.3612320807827
681,575.711382813434
682,576.0613781370079
683,576.4112180515042
684,576.7609025569232
685,577.1104316532645
686,577.4598053405284
687,577.809023618715
688,578.158086487824
689,578.5069939478554
690,578.8557459988094
691,579.204342640686
692,579.5527838734852
693,579.9010696972068
694,580.2492001118509
695,580.5971751174175
696,580.9449947139067
697,581.2926589013184
698,581.6401676796527
699,581.9875210489095
700,582.3347190090886
701,582.6817615601905
702,583.0286487022148
703,583.3753804351616
704,583.721956759031
705,584.0683776738229
706,584.4146431795373
707,584.7607532761742
708,585.1067079637337
709,585.4525072422157
710,585.7981511116202
711,586.1436395719472
712,586.4889726231968
713,586.8341502653689
714,587.1791724984635
715,587.5240393224806
716,587.8687507374202
717,588.2133067432824
718,588.557707340067
719,588.9019525277743
720,589.246042306404
721,589.5899766759562
722,589.933755636431
723,590.2773791878283
724,590.6208473301482
725,590.9641600633905
726,591.3073173875554
727,591.6503193026429
728,591.9931658086527
729,592.3358569055852
730,592.6783925934401
731,593.0207728722175
732,593.3629977419176
